NADH,n.t1.mean,n.t2.mean,n.a1.mean,f.t1.mean,f.t2.mean,f.a1.mean,rr.mean,n.tm.mean,f.tm.mean,npix,Group,Donor,Experiment_Date,Activation,Cell_Type
NK_act_1n,288.4218376,2340.570255,63.08944708,174.4429108,1803.764029,70.06531752,0.962823211,1041.923915,643.8835739,274,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,308.9968333,2346.006852,60.60062083,200.293089,2057.85687,68.60049028,0.954312131,1109.706621,749.5275305,216,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,266.3811483,2631.040291,54.32068953,215.7638988,2306.845116,65.16019419,0.906826592,1340.175186,940.334561,172,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,284.1031543,2342.607428,61.49426527,214.857872,2153.943601,70.02903569,0.933353388,1075.895923,789.4784036,311,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,298.9713631,2345.505238,61.03562619,160.3665899,1792.638274,70.13031429,0.904809013,1093.609788,644.8662866,168,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,283.4280713,2622.310635,52.76246526,186.3304339,2146.25746,69.14687637,0.909222946,1382.886872,787.8381659,567,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,273.2143555,2197.898213,63.18130608,248.4745403,1976.993118,70.31766616,0.898766275,980.4995804,753.6645406,263,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,261.1262547,2228.338297,61.73999022,195.2799341,2052.668514,68.4259337,0.928765367,1014.25595,775.8941395,276,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,304.5009414,2386.074586,66.03466034,198.7479879,1843.608862,69.13521793,0.963769839,1008.328589,693.3816525,290,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,268.1917875,2279.822188,62.18773252,208.7600158,1900.592675,69.08730274,0.940050891,1025.98654,718.81183,329,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,291.0333601,2227.567083,64.62134286,210.3203691,2025.923095,69.42956339,0.9390844,977.4521506,753.8243813,336,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,267.9867596,2325.799696,61.19273946,199.7747351,1949.857286,70.50726875,0.920231993,1076.745239,714.730934,560,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,279.6777786,2225.004772,63.87366035,174.3509244,2088.366386,73.09541088,0.964983578,986.0181955,667.8233465,285,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,282.0165763,2165.700722,67.60506959,191.2735536,1924.723387,71.62893093,0.959235478,894.4752833,662.881037,194,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,272.2579274,2269.41578,62.57393817,184.4119147,1770.377231,67.45330726,0.932994672,1021.57451,693.2357534,372,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,285.9648235,1977.63,64.63172794,151.6759529,1679.701029,66.86224559,0.942608347,881.2608982,657.9039989,68,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,287.9883102,2324.477951,61.43147251,201.3319456,2021.61283,71.9840814,0.949115314,1071.523209,695.6873672,371,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,293.2421403,2180.300108,66.50161439,193.3607885,1941.648885,68.91247158,0.931872998,930.3859097,717.4627066,278,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,290.9677187,2308.530871,60.76063693,218.423398,1975.902573,70.25393693,0.925851831,1082.419832,729.4479562,241,Activated,M,20221101,CD69+,NK-Cells
