cell_index,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,celltype,NADH,FAD,Group,Donor,Experiment_Date,Activation,Cell_Type
100,499.5581395,445.8755116,2513.348605,63.35434419,1.035862326,25.15116279,404.9719884,2326.535814,75.6734186,24.3265814,1.030081233,0.946918379,1202.253232,865.3728982,165.6353617,58.28474038,127.0776164,4.531234844,0.110207772,8.892187505,181.9123389,495.584116,5.698556509,5.698556509,0.08716996,0.027057534,88.90804859,228.2470478,86,cyto,c_1n,c_1f,Control,N,221114,CD69-,NK-Cells
34,764.7093023,437.9505,2462.869186,66.30707209,1.070168907,45.19767442,310.7454419,2081.307093,74.44202907,25.55797093,0.986432977,0.94734125,1119.772495,758.2045797,349.2924568,45.3524033,110.6809542,4.376807115,0.076801384,32.32803182,99.74326048,276.5666291,3.209685612,3.209685612,0.104903695,0.026487913,81.543642,88.32455425,86,cyto,c_3n,c_3f,Control,N,221114,CD69-,NK-Cells
107,704.3953488,432.455407,2516.252674,63.3253186,1.065629663,49.89534884,351.0173023,2218.620349,73.91565581,26.08434419,0.898543709,0.933807612,1200.364467,829.0067999,248.0606794,31.81834515,143.3120918,4.4915117,0.116996879,26.12325044,72.84869728,307.9206429,3.998012982,3.998012982,0.095959742,0.028317561,131.5597426,67.32744068,86,cyto,c_6n,c_6f,Control,N,221114,CD69-,NK-Cells
16,651.4883721,400.755314,2435.338953,70.14609419,1.003554733,36.41860465,320.9557558,2085.909186,70.57984419,29.42015581,0.953740767,0.939766096,1007.841141,833.8594281,227.8578372,22.1619147,110.457084,1.948051074,0.104943543,18.54245692,81.73718765,324.583154,3.343913138,3.343913138,0.095288502,0.039521168,46.63925306,102.9734763,86,cyto,a_2n,a_2f,Activated,N,221114,CD69+,NK-Cells
179,352.1609195,338.9600115,2313.976667,56.49821494,1.089508989,37.81609195,249.2015667,2383.754368,77.88667126,22.11332874,1.065137057,0.894284378,1197.226609,721.8520315,169.6199496,60.90507321,116.1679332,5.073183073,0.083765018,23.51571901,92.85642023,232.083611,3.856059547,3.856059547,0.130360188,0.058555854,117.5598752,156.0454592,87,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
255,288.4252874,367.3494138,2319.341724,69.27387356,1.048502333,36.44827586,256.784069,2003.658276,79.98756782,20.01243218,0.963818655,0.871893383,963.9306075,602.053442,137.4641291,73.16049238,143.1290185,3.724912175,0.086559359,30.28345109,71.68898424,276.3334185,3.502370845,3.502370845,0.117960616,0.106482437,112.6200859,78.15661229,87,cyto,NK_act_5n-014,NK_act_5f-015,Activated,D,220303,CD69-,NK-Cells
142,790.3218391,444.5136322,2498.318736,65.03221149,1.105899701,53.08045977,300.6081609,2239.086207,69.52754598,30.47245402,0.97209708,0.932428828,1162.497211,886.1672741,275.5516452,29.19032356,121.3222963,2.904128602,0.114005911,23.99380656,111.4509896,298.392993,3.375555513,3.375555513,0.083258444,0.035041822,65.46498417,120.6361028,87,cyto,a_1n,a_1f,Activated,M,221101,CD69-,NK-Cells
94,473.1609195,437.2515517,2571.718736,61.67042414,1.065428609,53.10344828,415.4906437,2504.412644,67.77997241,32.22002759,1.02621908,0.893723839,1254.502965,1070.489923,134.9457146,63.1747789,163.06173,2.988730956,0.118555836,21.50177628,195.4614041,514.7528583,5.904809588,5.904809588,0.093002774,0.049432895,101.4217117,163.7940481,87,cyto,q_6n,q_6f,Control,M,221101,CD69-,NK-Cells
97,445.9195402,417.1268966,2423.732184,62.80445287,1.086614621,49.37931034,377.1621839,2339.675862,70.6080977,29.3919023,1.007789207,0.900783397,1167.011891,950.3667063,72.4885265,43.41370325,136.748518,5.949536929,0.115768839,31.50128878,82.56353208,226.3156504,3.756960355,3.756960355,0.084777826,0.056366414,156.3950035,120.3827165,87,cyto,q_6n,q_6f,Control,M,221101,CD69+,NK-Cells
161,612.6206897,392.5917126,2465.758506,63.48417471,1.103876989,29.36781609,384.4071264,2413.871379,74.14517126,25.85482874,0.986292989,0.94734197,1151.952706,895.7966863,248.478638,40.73187723,135.0599715,3.146906189,0.107060033,10.75100314,148.3416949,418.4448764,5.324553826,5.324553826,0.099099494,0.028596093,110.1900916,146.9116887,87,cyto,c_1n,c_1f,Control,N,221114,CD69-,NK-Cells
81,662.7931034,432.695977,2454.803333,62.07955517,1.060281034,49.16091954,318.7622989,2223.006437,71.53785632,28.46214368,0.969359161,0.924819182,1202.117454,858.143908,311.5295028,51.9155795,107.1106837,4.996977838,0.088636308,30.80843797,68.80544714,196.0675384,3.992225217,3.992225217,0.142327141,0.047595385,111.3522302,105.1088154,87,cyto,c_3n,c_3f,Control,N,221114,CD69-,NK-Cells
61,572.137931,417.6342529,2559.915287,58.26204828,1.039734414,41.17241379,335.823954,2276.928736,74.00916437,25.99083563,1.009525529,0.929292822,1311.945585,836.3900579,207.7372095,74.75976909,128.9605635,2.527997384,0.095938665,20.8812851,80.00259086,271.2797646,2.802192972,2.802192972,0.132802786,0.035121599,112.8465761,86.73386319,87,cyto,a_2n,a_2f,Activated,N,221114,CD69+,NK-Cells
9,628.5517241,402.2112644,2405.330115,68.01054023,1.083011322,33.24137931,398.9364713,2284.331724,70.85745632,29.14254368,0.990939874,0.946079055,1043.092596,934.3064902,162.1180849,48.157462,179.1171361,2.644149384,0.114522355,14.32104121,196.2752422,482.4295789,5.26581181,5.26581181,0.112432268,0.028084473,100.4190891,174.796366,87,cyto,a_3n,a_3f,Activated,N,221114,CD69+,NK-Cells
18,561.5977011,398.7494943,2373.465517,70.34345862,1.052496218,30.2183908,304.2857356,2273.927126,72.81375172,27.18624828,0.955675092,0.940593018,984.9176341,833.5109754,273.9855055,35.02432155,128.686337,3.28642336,0.104561232,19.56053531,128.0763496,306.7587689,3.915943781,3.915943781,0.097751423,0.03746997,90.86551535,120.333738,87,cyto,a_3n,a_3f,Activated,N,221114,CD69+,NK-Cells
29,640.3678161,340.1800575,2414.222989,62.70236667,1.045821057,55.56321839,315.7287586,2097.822874,74.44214138,25.55785862,0.976133552,0.925855866,1115.885263,765.5539677,236.2437702,59.20071979,132.6505024,4.255024766,0.113629829,40.30168245,47.59262071,189.734362,3.694500017,3.694500017,0.079911272,0.032863632,146.2042796,48.67189577,87,cyto,c_2n,c_2f,Control,N,221114,CD69+,NK-Cells
123,671.183908,369.4394138,2518.16069,63.84464943,1.077161517,67.81609195,365.077977,2163.415977,70.64768621,29.35231379,0.998255011,0.925131688,1147.345719,883.4528135,208.0721324,59.546478,116.0995406,5.939858403,0.096426598,93.30526652,97.3503089,297.2853622,4.472618291,4.472618291,0.122216394,0.062518866,165.7662982,82.57802539,87,cyto,c_4n,c_4f,Control,N,221114,CD69+,NK-Cells
45,289.7613636,385.9924773,2220.635,74.56782841,1.113193114,36.5,242.5513182,1694.784091,77.25232955,22.74767045,1.00144617,0.881965201,853.3534315,581.7078325,104.9993973,30.991766,177.3969971,3.446322068,0.100649499,30.2761239,45.0553408,371.4964866,5.458455297,5.458455297,0.1095953,0.08109654,88.48041919,167.4969848,88,cyto,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
36,156.2386364,417.0496364,2459.435341,68.78630227,0.989841193,29.39772727,427.9098409,2221.135795,73.80468295,26.19531705,0.956846159,0.826527319,1048.980016,886.0513428,58.7073385,164.0042427,343.1486167,4.034942991,0.107536102,10.75595507,130.3321516,414.8960782,4.859130042,4.859130042,0.079135177,0.081457082,161.1703371,132.1332825,88,cyto,NK_unact_1n-020,NK_unact_1f-021,Control,D,220303,CD69-,NK-Cells
71,484.2045455,394.4595341,2518.618636,62.16057727,1.117094818,66.72727273,326.6768636,2347.542273,69.75127386,30.24872614,1.062611989,0.883947393,1196.750632,930.8605941,105.3819718,49.76169924,128.2086799,2.475576605,0.138108813,37.4892252,129.9795017,351.0147725,3.781982058,3.781982058,0.079571266,0.04654394,67.32349447,123.6340282,88,cyto,q_2n,q_2f,Control,M,221101,CD69-,NK-Cells
106,518.8295455,368.6388523,2354.245114,60.68957841,1.108850625,60.13636364,395.3536818,2225.118977,66.65359318,33.34640682,1.021260761,0.894431135,1149.636626,992.2592191,231.8201454,35.66882188,85.59343441,5.143794166,0.098688893,38.55170638,269.796259,472.0158474,7.796250389,7.796250389,0.11698191,0.055703358,117.9028834,211.4887326,88,cyto,q_5n,q_5f,Control,M,221101,CD69-,NK-Cells
97,454.3863636,385.8177614,2484.983295,53.05555114,1.047927125,72.75,326.8912955,2459.673068,66.6166,33.3834,0.973817091,0.855954357,1371.04858,1037.959416,116.83611,53.33512071,93.31441433,4.569247628,0.093537185,47.05175678,80.6932834,222.5583134,2.786195272,2.786195272,0.075447496,0.089774809,133.6074024,105.0069306,88,cyto,q_5n,q_5f,Control,M,221101,CD69+,NK-Cells
15,511.0795455,406.2201364,2566.086705,54.55042386,1.003586045,49.60227273,349.2065,2457.918864,71.70866591,28.29133409,0.979625989,0.911539,1387.051908,928.8201074,93.86542355,59.7628537,107.5564113,4.629617016,0.088693179,22.46045811,103.9225749,411.0821788,5.936899593,5.936899593,0.107394895,0.037756994,113.4354329,90.28118257,88,cyto,q_6n,q_6f,Control,M,221101,CD69+,NK-Cells
39,535.5340909,424.2838523,2589.594545,65.29821477,1.076260636,85.07954545,308.8038523,2116.242727,73.10357159,26.89642841,1.047051784,0.869471298,1171.355533,790.3176054,124.2327209,36.73124402,140.5272618,4.288114636,0.112044761,45.13153741,79.83814751,202.6029956,3.369209959,3.369209959,0.078644348,0.04628481,73.84906716,75.58533752,88,cyto,c_1n,c_1f,Control,N,221114,CD69-,NK-Cells
49,621.0909091,400.1483636,2512.956136,65.51620909,1.056597182,52.96590909,244.976,1898.313636,74.75489886,25.24510114,0.991801227,0.925164157,1129.15898,660.3629389,271.994491,43.48284997,99.22908059,3.802123884,0.098159296,39.42735175,40.02457899,199.0340495,3.733000887,3.733000887,0.080059567,0.039606182,79.69472911,82.81835862,88,cyto,c_2n,c_2f,Control,N,221114,CD69-,NK-Cells
154,643.1931818,432.0658068,2517.663068,60.51214545,1.097114636,39.875,302.7633864,2248.225455,71.87505455,28.12494545,0.989382716,0.93634615,1256.105573,848.1531034,210.1897259,44.77930649,112.2560471,4.081176946,0.103648642,23.79935887,51.18744288,173.7135416,4.558812275,4.558812275,0.102282226,0.044957403,101.1712876,117.686355,88,cyto,c_3n,c_3f,Control,N,221114,CD69-,NK-Cells
56,708.0227273,405.2998864,2453.105795,68.26439091,1.058948364,43.69318182,313.5716364,2354.332273,75.815025,24.184975,0.992099273,0.945652083,1056.527402,799.8835615,219.4640796,38.19910016,111.2729717,4.787883103,0.113704101,28.82781143,63.07934104,321.4449342,3.284618586,3.284618586,0.127597676,0.025090179,126.4122093,97.03531393,88,cyto,c_6n,c_6f,Control,N,221114,CD69-,NK-Cells
62,629.7159091,372.7492955,2306.864205,72.81823295,1.089996761,22.89772727,287.9094773,2349.551591,77.94569318,22.05430682,0.944060761,0.958721233,898.6243372,734.4219496,254.8027837,30.50973167,137.4612594,4.571018092,0.121961828,9.937783204,45.96419995,297.8147345,4.025555926,4.025555926,0.096051942,0.026317103,83.22485543,79.99920784,88,cyto,a_5n,a_5f,Activated,N,221114,CD69+,NK-Cells
40,494.5227273,463.1192045,2600.011705,63.22796023,1.032448205,30.09090909,416.3912159,2380.241364,76.11705227,23.88294773,0.955789636,0.940390983,1246.536506,872.8367847,112.5592541,42.97337881,139.080566,3.444730579,0.101805836,9.88861689,173.3671344,433.3184536,5.805514881,5.805514881,0.07556013,0.02358307,59.35134596,132.7902818,88,cyto,a_6n,a_6f,Activated,N,221114,CD69+,NK-Cells
44,146.9325843,418.7712809,2172.623708,67.88196517,0.959472202,30.70786517,363.1358764,2118.828876,71.81774045,28.18225955,1.042622787,0.828172306,970.1964958,848.4747768,27.0449112,146.9340836,381.7166313,6.221892383,0.091234612,11.82659008,153.9328046,454.1610366,4.558341534,4.558341534,0.094899261,0.048671734,139.0803524,167.3887499,89,cyto,NK_unact_3n-026,NK_unact_3f-027,Control,D,220303,CD69+,NK-Cells
120,615.4831461,383.9695618,2346.170337,73.61820449,1.115544921,52.4494382,385.1818539,2466.553146,74.75461236,25.24538764,1.032229067,0.919495803,904.7542734,897.7989462,170.5971539,21.47361175,127.16958,4.245860352,0.117018554,21.48996131,117.3205867,443.8581878,4.126934849,4.126934849,0.122272963,0.031264607,113.4926968,116.8843233,89,cyto,a_2n,a_2f,Activated,M,221101,CD69+,NK-Cells
15,482.4831461,437.2752584,2712.88191,56.9092809,1.075563831,23.73033708,404.2751124,2676.289438,78.44135169,21.55864831,1.031557034,0.953140291,1414.256308,877.3293207,66.6214053,64.01553605,179.6871139,3.485168822,0.105411236,6.931096012,101.2687759,539.1906691,4.396915027,4.396915027,0.077519211,0.011978312,93.49867479,111.9071088,89,cyto,c_1n,c_1f,Control,N,221114,CD69-,NK-Cells
166,441.5842697,424.8141461,2449.101798,66.82269438,0.980515562,28.73033708,344.4984494,2470.490449,76.12386067,23.87613933,0.937189124,0.939579411,1100.883492,846.1684532,68.24368252,45.14509726,174.4806112,5.149285724,0.086997464,10.46505445,185.6516961,448.099132,3.973792857,3.973792857,0.115417903,0.017122166,172.1530753,221.366814,89,cyto,c_1n,c_1f,Control,N,221114,CD69-,NK-Cells
123,536.5168539,457.3035169,2540.92191,65.54265618,1.066456921,47.26966292,399.5380899,2377.027191,72.06286629,27.93713371,1.08005191,0.916533607,1176.464936,947.0281517,171.8003673,53.23194538,130.4028897,4.532280781,0.108471205,35.70834001,107.9445449,240.9212353,3.284044335,3.284044335,0.106938949,0.056927511,124.8464991,102.8014509,89,cyto,c_2n,c_2f,Control,N,221114,CD69-,NK-Cells
149,463.6966292,396.8975506,2502.177303,59.39550337,1.035281348,35.25842697,370.9985056,2395.565618,72.81081798,27.18918202,0.992935393,0.92703408,1248.865654,910.0019109,113.907399,66.63038142,199.6962148,4.789295778,0.102209781,16.53957244,99.05155065,367.8608363,4.433982948,4.433982948,0.08762813,0.035256259,118.1767834,104.6583429,89,cyto,c_2n,c_2f,Control,N,221114,CD69-,NK-Cells
31,535.6292135,429.5730899,2547.761461,60.88842247,1.082921551,47.03370787,363.0310787,2411.735393,73.15122472,26.84877528,0.984084562,0.917359896,1259.8203,909.4024813,201.7631027,53.54640461,155.1265453,5.547104912,0.112754306,33.18558334,102.2887396,239.0203885,3.81781575,3.81781575,0.079276427,0.057143447,157.9280951,99.00869365,89,cyto,c_3n,c_3f,Control,N,221114,CD69-,NK-Cells
15,513.2921348,391.8885506,2466.017753,66.38980562,1.019341596,37.48314607,358.4749213,2460.439213,75.38824831,24.61175169,0.949862899,0.925404661,1089.669709,870.2949194,129.7205215,44.49872326,109.0420708,3.982691024,0.088013776,15.50887749,106.8169394,302.662893,4.708104888,4.708104888,0.090697005,0.042496235,109.7383892,121.1205337,89,cyto,a_3n,a_3f,Activated,N,221114,CD69+,NK-Cells
53,559.7191011,388.2139101,2383.607303,67.46573146,1.065079281,30.26966292,303.0711685,2323.504719,73.27922247,26.72077753,1.000908652,0.942004036,1034.800317,835.1326013,191.0648979,30.1529894,133.0215118,4.103740624,0.091845683,10.84578264,82.05207343,281.4096836,5.573941722,5.573941722,0.087110346,0.028947299,66.92582158,103.0380593,89,cyto,a_3n,a_3f,Activated,N,221114,CD69+,NK-Cells
93,631.8764045,407.1282472,2452.665393,63.27877978,1.050542,23.75280899,541.0500899,2608.995169,75.97477978,24.02522022,1.03142073,0.962471813,1158.185722,1024.594147,210.0377033,39.49470667,119.4368564,4.454572838,0.116989846,8.192680906,257.5653936,509.5557856,6.45701795,6.45701795,0.117623534,0.01088346,92.71101073,201.9284115,89,cyto,c_1n,c_1f,Control,N,221114,CD69+,NK-Cells
128,587.9101124,451.7060112,2515.255056,58.66306629,1.004846944,45.91011236,331.4448989,2044.403483,73.79394382,26.20605618,0.963930045,0.923436327,1305.241149,774.9005929,222.0331998,53.70423061,153.1329644,4.913902794,0.082966886,30.58469628,71.38530068,207.4747763,4.282146918,4.282146918,0.087106958,0.049615358,140.2555985,62.35586969,89,cyto,c_3n,c_3f,Control,N,221114,CD69+,NK-Cells
