,cell_index,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,celltype,NADH,FAD,Group,Donor,Experiment_Date,Activation,Cell_Type
62,198,143.8611111,400.4060595,2342.64996,77.22042897,0.987244353,10.28571429,789.9766147,6009.851495,69.29495822,25.54440986,1.466897123,0.928670416,835.2135595,1701.070017,56.51584197,74.49632367,294.3371,4.874367158,0.111918663,3.633305746,458.1485961,8037.899995,32.23917772,26.52804471,0.988298558,0.028693085,113.7297176,1333.113044,252,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
63,208,176.1901235,386.159237,2367.769037,71.94412469,0.984773025,16.4691358,691.9323714,4584.425669,71.91831067,24.04869336,1.205913526,0.905712733,938.1464634,1360.111257,93.00168156,129.4505591,279.5305913,4.569831082,0.115464444,6.137222942,409.0227945,9248.909413,31.3560387,27.47785838,0.19356132,0.033579782,154.925672,1608.871005,405,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
64,217,170.2210526,369.6641737,2311.258158,73.95701211,1.043623753,18.94210526,749.8139336,3641.702284,77.42650215,21.76941075,1.227999389,0.897213181,872.8988948,1245.642591,53.5346753,128.7947412,329.7999702,3.648614809,0.097253616,7.474246138,372.9254956,3115.971346,20.72826409,18.62797552,0.16774569,0.031613879,167.5493821,541.6214914,190,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
65,227,303.2797203,412.3892867,2407.837343,73.17488497,1.046718434,44.80769231,565.5872281,3191.93193,80.00895117,19.22582633,1.079855427,0.828163466,943.751359,1026.3709,188.6461239,82.25427417,291.7449622,3.231951162,0.120951632,20.47749497,409.3684732,5904.612171,13.66455179,13.63998024,0.178531841,0.104544834,107.2459318,912.7834384,286,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
66,236,213.6618357,370.2671594,2268.889758,78.90512609,1.009068879,19.14492754,728.8747473,4479.791348,76.96718836,21.39650094,1.22250342,0.910458579,770.0207025,1408.442265,91.37600566,51.85553934,249.3538989,4.532070855,0.107798361,11.22316696,439.4234084,4995.686144,23.83577607,19.00582704,0.210419472,0.051148762,121.1898065,1218.858633,207,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
67,246,151.2789116,520.4868299,2701.302245,66.91402313,1.012726425,23.16326531,643.3046334,3457.616051,77.58397672,21.07672948,1.194111738,0.857013793,1210.153629,1114.01811,76.60432288,337.8692439,744.946889,9.095582773,0.102960621,13.34270816,456.7545347,3718.523752,24.52909373,21.31057986,0.26539837,0.080196508,292.217852,730.2397925,294,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
68,255,215.1851852,373.4048272,2312.709753,71.6236179,0.983681123,15.98765432,735.2830205,7350.489926,74.33287684,22.10145528,1.276314259,0.907989477,918.9526364,1668.137498,116.4348362,60.72412121,268.590528,3.783885016,0.101995316,9.65812351,438.0022126,12591.16604,29.59204018,23.0260922,0.244301762,0.072470382,93.10737211,1592.004304,162,cyto,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
86,15,218.6548043,385.8900391,2445.32306,71.12739146,1.004707292,10.20640569,799.4239922,6912.435159,64.45046927,28.19442546,1.641188932,0.953364675,977.4642084,1870.338615,97.5174621,82.80680287,244.6402524,3.394892204,0.103011446,7.844932047,572.688792,13594.57677,36.57489583,30.22363539,0.680175043,0.032860146,118.9752123,1696.313834,281,cyto,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
87,30,226.8696742,373.4436241,2394.65792,70.75286291,0.999598343,11.08521303,725.1258834,5928.87007,69.26253965,25.07160501,1.467892361,0.9443667,962.0819121,1678.549643,96.42013415,92.1575746,231.6132745,3.936954913,0.110539113,6.473196137,545.7522542,11469.47329,33.48135199,27.64152473,0.526207502,0.039795959,122.936409,2235.64869,399,cyto,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
88,45,310.0752427,358.8926092,2201.077354,76.3536699,1.047393932,14.25728155,673.4197087,4618.937306,63.35279005,26.61388451,1.536593755,0.947227434,796.5770784,1606.560036,148.1362287,70.97551874,200.6809031,4.863309486,0.096520228,18.43412208,565.0359716,8445.099086,40.50265248,30.89182139,0.662900593,0.057220779,156.3222727,2732.964323,412,cyto,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
89,60,271.623431,423.4545774,2345.620544,69.86794895,0.996862586,10.81171548,775.1032422,6072.589279,67.08444426,24.98299598,1.473923402,0.94900347,989.1833423,1763.25038,183.3578046,160.3560286,372.3211739,6.235373737,0.096984605,4.579148574,525.476959,9469.918584,35.8289048,28.93806937,0.544910518,0.032067651,155.1195081,1749.864443,239,cyto,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
90,75,344.6206897,383.0571724,2219.783379,76.12708931,1.0570915,24.59310345,787.6713566,4293.02991,75.02232848,22.98169503,1.212770738,0.93050941,820.9758014,1431.402952,171.0672815,45.48241144,186.8659621,2.563949553,0.119090386,20.69835978,440.6424838,4453.755708,24.52634561,21.44905408,0.216437625,0.049525724,82.10497423,786.9123403,290,cyto,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
91,90,267.2760417,383.3972865,2433.48375,73.62557188,1.007677451,14.58333333,761.2408683,6731.186727,68.21185399,25.45687069,1.33341368,0.937533397,919.9034563,1940.907335,150.8091902,105.2314009,326.9878473,3.982897392,0.116985383,9.506811264,508.4953863,12182.6203,33.00474113,26.90906857,0.336357761,0.047457465,147.5162984,2476.570814,384,cyto,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
92,105,272.716792,371.3735138,2276.176967,72.24992932,1.066662534,24.06015038,736.6697421,4702.001739,73.33672011,23.65062441,1.298579932,0.936710655,898.9318146,1441.806206,189.1281703,85.14841263,250.5505919,4.418420657,0.123138241,60.25912547,496.6650744,7434.619284,27.59272936,24.31697598,0.594597561,0.036459393,153.3978359,901.9311686,399,cyto,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
93,120,221.8231047,366.8145884,2140.487509,76.61026498,1.017997484,28.90974729,693.4781778,3831.610235,78.66278671,20.60536405,1.099214043,0.87160102,780.7150086,1249.999741,150.587958,60.78837027,235.9290137,3.974984791,0.116898065,14.6901258,419.3170808,4387.544168,17.04619258,15.20230733,0.181646426,0.062209509,113.1550985,765.7084491,277,cyto,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
94,135,285.7388889,366.9253556,2260.2905,77.40985333,1.013951539,12.63333333,774.8288693,5183.222583,69.16913886,25.47927526,1.338744583,0.95100998,792.6827907,1504.444114,153.9886717,47.83153025,217.0519809,4.212456119,0.116757426,5.678381032,568.8898492,9742.37098,34.60889059,26.01078013,0.595173554,0.024307835,108.7337184,1406.673753,360,cyto,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
95,150,302.8219895,374.5757644,2287.595471,73.70277173,1.00305299,33.19633508,744.3913682,4730.582212,73.80900997,21.20322937,1.229625267,0.912568701,874.1299588,1483.480383,199.5919715,64.70898935,275.4600799,3.736736197,0.121275841,68.36090491,451.2778582,7613.198472,28.13154008,23.21858156,0.338091677,0.067058584,112.1834626,1225.465401,382,cyto,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
96,165,501.7089397,324.8368108,1979.256965,78.35093389,1.085756586,147.5072765,299.6691477,2166.62337,81.91662807,17.95332499,1.009132455,0.783969824,681.5509565,616.6928366,214.8409744,44.56048869,161.5615278,1.911062474,0.115317532,104.1006146,260.4646999,2110.337033,8.818936125,8.151632616,0.128847322,0.097634108,54.84145219,371.9564128,481,cyto,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
97,180,157.4611872,385.7255708,2183.842146,73.63456438,1.030682525,13.03196347,678.8756459,4993.133393,71.35556502,22.81761623,1.415629804,0.919793711,856.3490397,1566.684801,50.50217636,92.81729799,262.6396899,4.573886524,0.110414068,5.262284124,484.6548848,8667.991911,30.36499184,25.85248496,0.426464877,0.036154105,127.6200308,2079.553316,219,cyto,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
