,NADH_tm,NADH_a1,NADH_t1,NADH_t2,FAD_tm,FAD_a1,FAD_t1,FAD_t2,Norm_RR,Cell_Size_Pix,activation_label,Activation
961,1224.234707,55.40428,269.486176,2413.6444,699.2285672,75.1277176,178.451648,2289.28168,0.870356073,125,0,CD69-
40,1385.197288,49.2906561,340.087439,2403.687561,716.9349983,75.55182195,178.9978805,2398.969024,0.992547365,41,0,CD69-
796,1194.751989,58.37478947,301.4448526,2446.739895,897.4704818,69.43286211,223.2085579,2436.235053,0.784656536,95,0,CD69-
1186,1103.307008,63.27938936,389.7461489,2344.270638,810.338677,75.59729149,322.4462553,2357.716383,1.261959281,47,1,CD69+
965,1173.32899,56.75705385,291.4205769,2333.480769,833.6928672,71.78241442,210.9646567,2420.049135,0.918507494,104,0,CD69-
747,1071.492457,60.95642,247.4884667,2363.59,1013.723029,71.87684,395.0974,2615.484667,0.926963026,15,0,CD69-
520,858.3659124,77.34734737,455.4433158,2246.60693,489.6947755,83.28483596,191.040886,1994.722368,1.094587265,114,1,CD69+
236,1348.904571,52.71417938,391.0653299,2427.082268,575.0450064,82.44285361,210.4473299,2303.348557,1.062460672,97,0,CD69-
92,1288.381009,54.09802,312.5965333,2442.34,624.4487115,78.79045333,193.9852667,2274.046667,0.953662066,15,0,CD69-
222,1734.097063,53.92059714,693.7529143,3012.934,641.6773468,79.02986,192.8353943,2311.390857,1.004404913,35,0,CD69-
839,925.8597906,73.04176269,409.0758433,2325.236194,664.0883171,78.82650448,230.9814843,2304.751567,1.316113125,134,0,CD69-
841,1130.27184,58.61055347,296.0883333,2316.162292,796.5269229,73.32460833,211.1047542,2416.030278,0.901927031,144,0,CD69-
1070,947.1528454,70.16054394,401.4760303,2236.71197,702.8629048,79.68329545,304.8596182,2319.238182,1.326367322,66,1,CD69+
792,1258.002347,54.83805965,299.4092807,2428.62614,834.9974681,74.82345789,282.8963684,2516.165789,0.950110755,57,0,CD69-
1111,875.9236171,75.11266964,402.0120893,2309.486071,621.3673846,80.11379286,216.3699107,2310.51625,1.313389298,56,1,CD69+
580,1344.213926,49.71144286,333.1513333,2343.707857,790.0163577,76.62159524,247.9405476,2610.355714,1.146262285,42,0,CD69-
47,1213.729831,56.15576598,324.3783402,2348.92299,698.8127707,76.68111134,186.4000557,2386.140619,0.950476018,97,0,CD69-
836,1138.239071,57.75396905,282.0128333,2313.051667,739.8427048,75.13688571,212.1811095,2345.714762,0.988629607,84,0,CD69-
62,1497.758878,63.796765,736.14075,2911.664,687.3519267,76.52325,179.0804,2331.7855,0.948202513,20,0,CD69-
