,NADH_tm,NADH_a1,NADH_t1,NADH_t2,FAD_tm,FAD_a1,FAD_t1,FAD_t2,Norm_RR,Cell_Size_Pix,activation_label,Activation
1083,992.6927038,60.570254,309.81794,2054.2624,619.8522743,77.017154,200.55204,2027.5668,1.020036263,50,0,CD69-
1470,924.7313032,74.43503709,409.0578245,2484.207583,891.8045813,69.9275606,248.0829063,2412.95702,1.107628666,302,1,CD69+
961,947.9613821,67.4549075,329.3360425,2242.892,526.1088938,77.67723,184.8993375,1726.113625,0.979600892,80,0,CD69-
40,1138.021468,66.96078793,455.3506379,2574.924095,1120.551544,69.3124444,432.3622759,2743.422155,0.984283277,232,1,CD69+
1166,927.3041762,66.14362333,361.36625,2031.579167,521.4404024,80.86693,176.9695167,1997.296667,1.062755102,60,0,CD69-
75,1037.617848,68.93728696,422.1117435,2441.662609,1000.436531,71.0963613,358.4829761,2620.34813,1.005569903,230,1,CD69+
987,944.2467645,61.2376641,285.8011833,1996.951923,675.8409335,77.96362949,252.1287821,2193.018077,0.989937813,78,0,CD69-
1595,1156.531836,63.00243385,381.1455815,2497.286523,1033.532334,72.77906277,372.41,2850.5652,1.02265789,325,0,CD69-
247,887.2811595,72.34214444,371.3296667,2249.659667,451.1719021,80.02828222,117.6495489,1774.755222,1.039599126,90,1,CD69+
1550,1270.439349,60.03348996,381.6840717,2634.663047,924.6088807,72.48939749,301.1700466,2623.311792,1.04918457,279,0,CD69-
1615,948.4877416,72.40083755,394.1587075,2419.169249,1061.456079,70.49746877,355.0131581,2784.785375,1.001180925,253,0,CD69-
712,903.0769514,62.61505882,231.7743441,2036.807647,413.6805521,84.30126397,146.1759632,1870.011176,1.013671635,136,0,CD69-
186,1148.909395,64.93616008,452.4946914,2506.91251,974.5857665,72.45881152,365.4019177,2666.095103,1.003522742,243,0,CD69-
1353,928.9945238,66.52483735,369.3691205,2078.882289,428.4705152,79.57577952,128.9932747,1614.46494,1.038225624,83,0,CD69-
312,886.8935248,71.15725385,374.9717863,2177.861368,532.8445198,81.19707521,184.8051915,1996.830085,0.997180009,117,1,CD69+
8,989.2890325,70.36349204,394.2926549,2411.850664,1042.705968,69.20305442,375.1567876,2566.559912,1.028676321,226,1,CD69+
