RR,Ntm,Ftm,Cellsize,Na1,Nt1,Nt2,Fa1,Ft1,Ft2,NCR,NucI,NucRR,NucNtm,Activation,Donor,Gender
1.05145647,1.097033656,1.098776406,0.124603931,0.971156056,1.210364783,0.932410031,0.992035263,1.084161288,1.045033822,0.914185503,1.103984361,0.901779896,0.794271899,0,5,0
1.128643349,1.122259117,1.353930705,0.218508342,0.941452576,1.18313501,0.906990148,0.973866704,1.556177309,1.028928996,0.783587574,1.154849142,0.983729602,1.121289514,0,5,0
0.982967916,1.143746788,1.080285205,0.321442024,0.897464653,1.03229921,0.871100447,0.989560127,1.020191643,1.015771353,0.728182392,1.189644149,0.873091926,1.561998166,0,5,0
1.028859138,1.118295753,0.927576684,0.803605061,0.95797211,1.17952266,0.946886319,1.007831301,0.922243468,1.031798761,0.338258866,1.125634514,0.910329784,1.089500473,0,5,0
0.966050859,1.077448274,0.862447351,2.380115663,0.955294686,1.148563231,0.906654407,1.015317326,0.872394489,1.037802579,0.104894592,1.109921515,0.842690405,0.844169142,0,5,0
1.066920334,1.087264741,0.825874453,0.357559106,0.96812209,1.164122156,0.946152162,1.017757337,0.84157483,1.013499082,1.168183049,1.114238234,0.93760317,1.136732594,0,5,0
1.039198547,1.033912077,0.917167912,0.175167845,0.975398302,1.148789038,0.886960335,1.017062604,0.7994181,1.266796316,3.107560976,1.071450268,0.90284526,0.700260104,0,5,0
1.147159124,0.993604042,0.863588153,0.223925905,0.993160503,1.065342769,0.940732622,1.026346575,0.798029702,1.364987138,1.896683768,0.955314154,1.007552239,1.338787668,0,5,0
1.146172304,1.148983652,0.81851171,0.379229355,0.910353918,1.205610123,0.84664393,1.017857068,0.918056216,0.932263101,0.835826745,1.177662615,0.983788503,1.430682984,0,5,0
1.074917155,0.953334438,0.966979455,0.547173783,0.863914534,0.94986047,0.781651271,0.994185454,0.948970136,0.984925843,1.54916164,1.020896017,0.930635254,1.268629897,0,5,0
0.841894806,0.613515643,0.551109419,0.686224546,0.82378076,0.615520244,0.556215855,0.75817638,0.685009027,0.654369378,0.331272795,0.686830574,0.704994116,2.512517437,0,5,0
1.089513856,1.212818007,1.4972876,0.346723981,0.897026775,1.162250286,0.896782248,0.952296363,1.442298478,1.033476259,0.386956826,1.243926476,0.955577079,2.272009463,0,5,0
0.803990613,0.479315086,0.553683876,1.184640269,0.829188768,0.515449616,0.540347726,0.935592335,0.652194649,0.983897204,0.142934541,0.465311305,0.688593155,1.968397225,0,5,0
0.696111438,0.646586332,0.768808986,0.496609869,1.055582142,0.532404061,0.937675157,1.021664522,0.705410332,1.038219859,18.43296483,0.805094141,0.676013197,0.954262346,0,5,0
1.00938219,1.280626121,1.854509189,0.254625424,0.889406334,1.280041257,0.907488577,0.911548054,1.708063104,1.041796511,3.469469509,1.098798208,0.890249927,1.574719399,0,5,0
0.933619138,1.178803776,1.711733723,0.092098558,0.89178903,0.9809473,0.90815855,0.91849978,1.410160597,1.018442011,3.519270506,1.134378809,0.711108377,1.653030287,0,5,0
0.91233346,1.075418333,1.221210554,0.220314196,0.973410089,1.129315032,0.960215513,0.971830748,1.039077008,1.015072966,2.305728952,1.00370753,0.753571852,1.584159039,0,5,0
0.9994793,1.00357693,0.860347499,1.605404268,0.970779979,1.06506934,0.877792625,1.014100508,0.767266237,1.076529826,1.625683019,1.017417411,0.853958498,1.816375607,0,5,0
1.023797119,1.023926115,1.535447009,0.947534552,0.991898441,0.993337853,1.01291497,0.963931243,1.462587642,1.170546312,0.406352932,1.035048201,1.026354005,1.213584213,0,6,1
1.080675903,0.858257639,1.428142824,1.00352523,1.046549259,0.89237829,0.968035965,0.947173927,1.427480565,0.96495365,0.318564588,0.890223307,1.081024728,1.102314325,0,6,1
0.913428179,0.907372261,0.734858192,1.033674056,1.015300611,0.770262475,1.022186632,1.02599798,0.733370813,0.9120568,1.537074136,0.95555577,0.935809293,0.572283288,0,6,1
1.018056458,0.868365203,1.617472728,1.063822883,1.041647293,0.872550445,0.975000842,0.955180164,1.598412054,1.150063052,0.288201401,0.873531696,1.011168439,1.231977445,0,6,1
0.579689033,0.526134869,0.573323181,1.455757629,1.131474032,0.341590766,0.966096596,1.048525479,0.615420852,0.995667073,8.453907748,0.577807551,0.638679656,0.591839771,0,6,1
0.976094007,0.964734873,1.251902318,1.19303214,0.995346511,0.820607336,1.001525907,0.968864843,1.312289034,0.965827039,0.519783524,0.975802535,0.974850808,0.957699183,0,6,1
