RR,Ntm,Ftm,Cellsize,Na1,Nt1,Nt2,Fa1,Ft1,Ft2,NCR,NucI,NucRR,NucNtm,Activation,Donor,Gender
0.82193647,555.7270958,388.8199149,122,82.19306804,265.5464846,1884.644843,84.6319596,114.2024168,1946.498756,0.244897959,545.5449284,0.831435925,358.7868852,0,3,0
0.565360279,101.6369274,74.72731152,49,96.76802916,48.85983467,1645.585298,98.48472977,54.35672474,1392.334509,1.45,94.65308836,0.59249741,125.3265306,0,3,0
0.847813556,660.5463704,401.8644735,406,77.67788898,265.532023,2040.431392,85.9625407,103.8830256,2233.233247,0.176811594,637.5180892,0.846110092,457.5295567,0,3,0
0.815870688,616.5833542,232.7554127,267,79.61562228,256.2091572,2031.308484,91.47572456,61.22884997,2062.088852,0.405263158,590.9718328,0.810182292,311.411985,0,3,0
0.876561648,638.6861286,323.2497983,205,79.46017848,269.4274861,2064.666348,87.50253677,91.28194828,1957.602336,0.126373626,618.8361164,0.877826205,483.6780488,0,3,0
0.756102014,405.3434655,254.348984,244,78.6566395,162.3045567,1774.940999,89.96160053,82.74232426,1851.006946,0.284210526,392.6681754,0.735548,328.1967213,0,3,0
0.826728697,668.9861123,347.3924181,170,79.10024239,284.1511744,2133.24848,87.68370659,86.8902812,2219.099242,0.223021583,650.8408508,0.832499603,422.5235294,0,3,0
0.849671645,674.8420513,467.7119616,184,77.44691462,267.1491296,2071.797983,82.42916031,119.3701171,2117.648982,0.268965517,641.8552534,0.848967222,406.2880435,0,3,0
0.838663223,633.139687,367.2867881,168,78.58837498,252.1262723,2037.978087,87.83402918,94.81024191,2345.978739,0.208633094,617.7900391,0.834962621,395.4166667,0,3,0
0.804621206,595.0537806,262.8135228,161,81.01226249,242.5404317,2107.999699,89.88285031,73.75888238,1975.88597,1.267605634,552.7658646,0.729688275,267.9254658,0,3,0
0.884536628,626.2178198,388.5561981,248,81.27284637,277.2030065,2155.344871,86.97912502,112.4612389,2253.443756,0.401129944,591.3586962,0.895926793,289.1814516,0,3,0
0.834594888,665.9002906,463.8875493,339,77.79036566,256.1757991,2102.760958,82.86718518,140.602186,2041.774517,0.520179372,622.9077027,0.853184559,349.259587,0,3,0
0.737744493,281.4191445,121.4796619,370,66.86635805,124.8261946,1052.077951,81.61341097,46.87966897,1427.469818,0.258503401,311.8093468,0.766409694,342.3783784,0,3,0
0.853691719,555.0575028,160.6565295,223,81.47169151,219.156744,2044.782858,94.92669574,69.22127724,1673.952725,0.842975207,523.0173584,0.866952043,202.0403587,0,3,0
0.897117297,663.7259007,310.3923431,305,78.04923837,262.6873419,2102.896024,88.77449951,86.19526024,2063.260034,0.525,618.9944591,0.884994516,270.0918033,0,3,0
0.819934423,629.3669216,288.5297439,258,79.49128888,251.8114446,2100.9222,89.19738226,73.01905966,2091.703568,0.372340426,610.5776832,0.817859902,376.4883721,0,3,0
