Norm_RR,NADH_tm,FAD_tm,NADH_a1,NADH_t1,NADH_t2,FAD_a1,FAD_t1,FAD_t2,Activation,Donor
0.958482271,618.5639776,314.5223185,78.95783864,243.0037434,2054.631864,87.5100592,105.7494453,1806.591135,0,7
0.827750481,344.8320618,164.2524668,89.31236521,161.6585007,1852.696696,94.06743368,58.15463384,1839.493368,0,7
0.888568891,561.5702237,280.7285824,82.26169268,241.5580684,2054.55265,89.72470638,79.48352608,2050.933333,0,7
1.046113,550.7373512,140.8834576,81.86880004,235.0849701,1960.631111,95.4129031,71.2506414,1482.248283,0,7
0.980973615,581.0275965,216.9726301,81.10294094,230.4349919,2106.297458,91.39915235,69.50735564,1797.263815,0,7
0.945479969,665.4312071,328.7122466,76.8059397,250.5461788,2026.203338,86.33695551,100.2302301,1805.656252,0,7
1.098427549,673.1975548,383.7780385,78.50285147,265.40234,2157.389174,85.40752251,123.6031187,1942.502099,0,7
1.03183744,622.0896077,294.0002625,80.14800405,260.9180085,2091.928925,89.23464012,73.92212648,2132.011664,0,7
1.052960101,616.5002371,436.079085,80.09595446,270.5788681,2007.995411,84.41295153,116.5169002,2195.977491,0,7
0.888358131,528.7182848,283.7044445,82.71249318,216.1519753,2005.800435,86.86501673,90.23763621,1645.219072,0,7
1.062965128,556.0694327,174.9478607,83.08176192,257.867869,2043.603769,93.92646217,75.80006313,1723.999969,0,7
1.069685059,639.8516261,395.9734427,79.61916692,269.9079684,2087.165866,84.31876153,107.9360483,1999.31347,0,7
1.002776708,607.4900222,234.774226,80.46792153,256.6877951,2059.331779,91.21045151,81.07563252,1846.259877,0,7
1.030965477,635.1703158,398.1310301,78.59071957,244.531459,2070.482975,85.94327075,122.094294,2102.691988,0,7
1.084766708,649.2735159,414.2596459,80.02658076,266.3467171,2189.618601,86.1631769,139.0998459,2123.923077,0,7
1.070849856,619.1358908,280.6033122,80.50297913,266.3009213,2084.771702,90.10702828,119.5082104,1739.436915,0,7
