cell_index,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,NADH,FAD,Group,Donor,Experiment_Date,Activation,Cell_Type
151,287.21,351.99982,2428.0457,74.433158,1.04239668,23.39,338.3391,2299.8444,78.686753,21.313247,0.96928652,0.910532998,883.0557338,742.5811818,126.190276,35.29607291,167.0586322,3.353440986,0.115613429,10.45808855,134.2705764,387.5599922,5.019133743,5.019133743,0.078340767,0.05286286,86.97523874,136.8474171,100,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
121,907.61,411.64884,2656.9073,67.624874,1.09508753,71.44,277.7239,2263.1544,74.984629,25.015371,1.05371959,0.926642972,1138.579643,771.0281826,171.856288,24.26158408,68.13493039,2.402088786,0.111654998,30.52514115,69.31994957,237.428524,3.120827166,3.120827166,0.082694253,0.030218014,61.25106273,105.6438292,100,a_1n,a_1f,Activated,M,221101,CD69+,NK-Cells
1,1185.59,401.90498,2746.3312,71.726888,1.1159523,48.97,346.37601,2414.058,74.181022,25.818978,1.01269509,0.95982277,1064.495902,874.149272,225.8882398,15.0866859,93.30894266,4.398096998,0.109137646,21.8444709,136.820999,313.7061511,4.160150404,4.160150404,0.101985976,0.01716093,105.7368141,163.0974718,100,a_6n,a_6f,Activated,M,221101,CD69+,NK-Cells
149,632.51,367.79371,2549.4505,59.213502,1.09811915,45.58,331.34548,2460.1989,71.459632,28.540368,1.09215448,0.925218721,1256.837134,928.6192224,186.9224165,43.92719848,87.37120519,4.298557472,0.129563294,22.09766202,88.06107529,364.646339,3.957586038,3.957586038,0.149927389,0.048503909,96.53572917,91.52342995,100,q_5n,q_5f,Control,M,221101,CD69+,NK-Cells
68,633,357.03271,2446.6326,64.190041,1.07923992,95.06,271.60814,2191.6186,72.081065,27.918935,1.05842136,0.871630384,1104.978572,805.7248857,218.9328111,50.79357424,99.52187788,1.733689765,0.119812071,63.64323224,45.76089662,141.3372962,3.735438579,3.735438579,0.091679932,0.061978012,74.58858187,106.9764289,100,q_2n,q_2f,Control,M,221101,CD69-,NK-Cells
135,633.72,428.57421,2534.244,65.657731,1.00916559,47.05,315.9599,2318.1976,74.2817,25.7183,1.02176253,0.930364643,1152.032279,826.3210514,130.7132786,65.56891017,128.8258958,3.057005574,0.089616226,26.60993017,124.1384084,244.0676429,3.75120642,3.75120642,0.093460138,0.036722418,94.75669666,115.6283061,100,c_2n,c_2f,Control,N,221114,CD69+,NK-Cells
52,912.65,404.92381,2373.9399,66.750052,1.09761431,79.16,233.94124,2190.3123,76.374078,23.625922,1.0811393,0.920188703,1061.52865,692.1538342,355.7027012,41.31089029,114.1959832,3.392125015,0.073823025,46.91852383,47.91390789,226.6195137,3.194537926,3.194537926,0.108740506,0.035100403,104.8979263,82.50216033,100,c_4n,c_4f,Control,N,221114,CD69+,NK-Cells
157,780.99,433.80176,2532.6178,66.712927,1.0882167,55.97,252.78499,2324.2658,75.147988,24.852012,0.95604854,0.935510996,1132.675739,760.3311556,227.865701,33.15071661,134.5750117,2.811072784,0.117652609,30.53875002,46.81804516,263.6029925,3.885982331,3.885982331,0.076246575,0.025691117,93.41568755,56.07702008,100,c_3n,c_3f,Control,N,221114,CD69-,NK-Cells
106,752.02,391.07037,2443.5869,67.320901,1.0539786,88.15,279.37657,2231.1125,74.304163,25.695837,1.02365284,0.894995088,1063.279818,777.5102036,202.02235,33.46826115,125.1771288,3.601131714,0.106850402,75.56673083,30.54780275,188.0637786,2.672408543,2.672408543,0.088426996,0.082087344,86.93912743,54.57240291,100,c_4n,c_4f,Control,N,221114,CD69-,NK-Cells
19,845.8,401.17728,2505.5385,64.652229,1.08062304,58.43,255.57826,2136.2393,75.112544,24.887456,0.99533297,0.932771415,1144.695284,722.5745521,260.8804053,34.7471651,106.8919402,4.765583333,0.075763206,30.77000212,57.54373571,195.2964861,2.796128519,2.796128519,0.100517711,0.035019074,116.6874369,109.4325752,100,c_5n,c_5f,Control,N,221114,CD69-,NK-Cells
