NADH_t1,NADH_t2,NADH_a1,FAD_t1,FAD_t2,FAD_a1,Norm_RR,NADH_tm,FAD_tm,Cell_Size_Pix,Donor,Activation,Cell_Type,count,Cellsize,NCR,NucI,NucRR,NucNtm,Gender,cell_index,n.p.mean,n.chi.mean,f.p.mean,f.a2.mean,f.chi.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,celltype,FAD,Type_Activation,Donor_Activation,Donor_CellType
399.2245,2388.0825,53.55088333,189.7730667,2315.931667,80.981725,1.069257946,1322.697962,591.014225,12.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
374.1839231,2387.349385,58.20767385,154.5125692,2208.725231,77.94926769,0.943177854,1214.280481,605.3130151,65.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
378.9240375,2373.800875,56.048955,177.35829,2328.428875,78.95695875,1.044014726,1253.241215,623.9696996,80.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
357.9160769,2336.766731,52.35524231,180.7588269,2469.628846,75.55141538,1.028163415,1300.093688,738.7593402,52.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
333.4025,2238.193182,43.45937273,235.8700091,2193.447727,75.01329091,1.135675638,1407.876885,726.6298587,22.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
324.3783402,2348.92299,56.15576598,186.4000557,2386.140619,76.68111134,0.950476018,1213.729831,698.8127707,97.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
460.1079583,2267.102917,66.08706667,170.4096125,1889.483333,83.07956667,1.171903507,1067.38859,459.6054042,24.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
441.8046471,2618.540588,47.51088235,178.5036059,2430.396275,70.75931373,1.122064076,1584.963467,827.786813,51.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
391.3735385,2447.793077,58.4716,441.5893846,2442.506923,76.38382308,1.087441301,1242.825315,903.7799761,13.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
312.7748462,2256.503846,60.23803077,184.8813846,2304.256923,75.33247692,1.140579827,1085.133405,705.1651247,13.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
391.8641818,2335.197273,60.36170909,209.7925455,2155.578182,75.89967727,1.032143675,1161.201181,676.0781564,22.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
373.6207677,2243.51202,49.79751818,147.6149192,2415.708889,81.93139697,0.981534855,1310.199058,555.0995934,99.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
503.6493478,2590.601739,60.39133913,212.493,1964.537391,80.40226522,1.232654653,1329.68012,550.0084146,23.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
474.5561569,2451.303333,52.69961373,187.0100392,2685.288039,78.67134706,1.021482809,1409.52611,709.7158389,51.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
341.6696364,2330.272727,59.18293636,195.1849091,2559.439091,81.47653636,1.148455959,1151.89897,628.718741,11.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
438.9011212,2429.639091,47.70330606,116.513197,2209.41,83.51767879,1.119426591,1479.464462,461.3249065,33.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
460.1173182,2356.048182,55.08263182,238.0311364,2367.421818,70.17448636,1.099699586,1310.395991,868.8528625,22.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
418.8688145,2569.414516,48.55881048,188.3014685,2403.97379,77.05178548,1.087806744,1525.414162,698.8711334,124.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
317.7096061,2359.563333,67.05016061,310.8266667,2615.481515,74.62645758,0.886617007,989.0364235,887.591092,33.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
448.4545618,2518.503371,55.48194719,185.2846225,2352.573483,80.15259213,0.979556325,1366.830673,612.8298637,89.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
736.14075,2911.664,63.796765,179.0804,2331.7855,76.52325,0.948202513,1497.758878,687.3519267,20.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
455.4280141,2609.301408,57.02977887,212.6885944,2325.157746,76.09683239,0.729520791,1371.730771,716.0525418,71.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
552.0128333,2643.208333,60.04963333,156.0061667,2039.116667,77.81926667,1.116613229,1374.166594,560.5963781,6.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
489.0546703,2666.675604,57.24689341,151.3648165,2394.41978,76.74277033,0.742936891,1407.985288,672.5891101,91.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
