,NADH_tm,NADH_a1,NADH_t1,NADH_t2,FAD_tm,FAD_a1,FAD_t1,FAD_t2,Norm_RR,Activation,Donor
4929,1241.113782,55.81690794,300.1475238,2438.358571,873.7538154,69.07718254,233.3374127,2308.606032,0.881941863,0,1
4930,1356.379614,53.51333529,328.8375294,2542.108235,953.3637235,68.70727647,288.9382882,2417.342353,0.988669848,0,1
4931,1222.489392,60.50696905,370.5175714,2539.56,686.2199451,79.4450619,244.5611429,2409.628571,0.786355463,0,1
4932,1225.690087,62.84504167,384.996,2651.61,686.1993588,74.37441667,195.9670417,2115.3275,1.085228703,0,1
4933,1179.974436,58.310325,317.841,2385.7775,537.012762,79.017825,155.64485,1996.28,1.270330747,0,1
4934,1210.055334,61.34329333,459.2296,2404.166667,653.6962666,77.51016667,220.4712667,2161.071333,1.187077989,0,1
4935,1471.614235,55.825725,520.0035,2675.03,518.8398972,78.8487,142.06895,1913.08,1.156045565,0,1
4936,1133.230621,59.43015667,301.2014667,2356.124,663.2531088,77.91939667,199.2732667,2303.059333,1.07217261,0,1
4937,1403.372521,51.48137907,355.158093,2515.499767,803.605339,73.88293721,182.4119023,2577.041628,1.006743775,0,1
4938,1478.622221,44.56894179,355.9179403,2382.459104,739.9587407,73.90978358,181.0361269,2328.394328,1.065555943,0,1
4939,1116.119394,64.20646383,342.4311915,2505.425106,808.741615,71.84658085,208.3166383,2345.195745,1.068837139,0,1
4940,986.3401755,67.86157193,397.1908947,2233.952456,550.9605718,83.8415614,254.8428333,2156.136842,1.242716029,0,1
4941,1556.073408,49.6619,454.0349231,2644.763077,909.4874627,70.10007692,250.4405385,2455.544615,1.066001248,0,1
4942,999.3578096,61.8453375,222.6225625,2260.71375,813.4756814,71.9313375,206.3690896,2364.697917,1.111805301,0,1
4943,1269.826898,50.34343636,335.5692727,2217.666364,817.6723893,71.60777273,175.6763364,2455.305455,1.04740099,0,1
4944,1247.006979,56.39028077,331.2039038,2436.249231,570.578893,78.55005769,147.3931846,2134.139231,0.960958354,0,1
4945,1321.972917,51.39575484,431.0442903,2267.189677,798.4443166,75.38783871,217.7774613,2618.187097,0.96293761,0,1
4946,1413.13957,51.02038814,387.8557288,2481.635424,878.0899984,72.76847627,273.5205763,2537.295932,1.004058184,0,1
4947,1238.670356,60.81328,379.0201714,2578.636571,870.4267638,69.82978,239.7440629,2333.039714,0.934583902,0,1
4948,1271.210955,56.8038,379.05475,2448.3075,684.6538877,79.5055,204.958,2550.108333,0.883417928,0,1
4949,1211.096777,54.85778824,338.2359632,2277.348603,960.9069968,68.22417206,250.2357941,2495.236765,0.847842459,0,1
4950,1400.03059,56.38570294,522.3970882,2542.865588,539.9070846,78.57852941,145.9824941,1982.010294,1.083039071,0,1
4951,1332.958342,51.13891,324.16225,2390.8025,723.049481,77.01583,226.97505,2388.494,1.140039888,0,1
4952,1101.865063,61.66495263,326.9096316,2351.739737,803.2744316,74.26309211,277.2321316,2331.677632,1.032945256,0,1
4953,1199.083971,56.56163571,303.3245179,2363.696607,778.3337147,74.42149821,227.1085179,2384.79125,0.869687447,0,1
4954,1397.772926,49.37050714,397.5488571,2373.631429,844.9218647,73.7274,296.8072143,2413.661429,1.150796611,0,1
4955,1369.08144,53.88453875,365.1578625,2545.828875,887.5563448,69.79290875,238.68325,2393.057875,0.781678439,0,1
4956,1552.509982,40.55126667,429.3223333,2320.053333,570.4329986,79.54486667,182.0856667,2086.453333,1.154102114,0,1
4957,1098.774103,64.20530921,390.5612368,2369.4125,667.9452946,77.8112,283.8892039,2069.232237,1.194720812,0,1
4958,1345.908008,53.33812737,395.2987684,2436.825158,787.5021934,72.25686737,180.6293474,2368.695263,0.760095377,0,1
4959,1297.134493,56.072308,422.66548,2416.4804,779.4827966,73.397252,181.38908,2431.7892,0.791063556,0,1
4960,1275.799787,55.0809,271.078,2508.448333,691.341432,75.91931667,201.4576667,2258.548333,1.186601228,0,1
4961,1343.361501,55.828525,467.7152619,2462.340952,581.8751642,77.47384881,146.4068298,2060.320833,0.992939072,0,1
4962,1507.831751,53.31511429,544.3635714,2612.19,759.3747657,73.06028571,158.7321429,2397.405714,1.096944006,0,1
4963,1366.14132,52.29067931,387.383931,2456.407931,930.0461265,66.43461207,221.6976517,2343.136897,0.971367734,0,1
4964,1321.232532,54.5591875,372.939325,2464.548,488.7928994,81.316205,157.6463525,1940.2645,1.144316082,0,1
4965,1565.971881,50.449752,477.78404,2684.9368,694.1775177,74.420056,157.869108,2256.964,0.773030692,0,1
4966,1260.307782,59.47582759,389.901931,2543.273448,744.1168755,73.86934483,171.9616052,2369.086034,1.103107156,0,1
4967,1400.993058,50.31712989,338.7851724,2478.134253,843.7669084,71.03063103,188.3465184,2455.923793,0.92539192,0,1
4968,1190.298089,58.95224,293.852,2479.546,689.2057599,77.61244,211.666,2363.086,1.177019515,0,1
4969,1447.96813,56.11773143,477.4142857,2694.424286,737.8005736,75.46613143,202.2713257,2388.795714,0.895704183,0,1
4970,1249.001829,54.05394375,343.0582917,2317.869167,806.1239566,74.01195625,223.59375,2466.311458,0.806615237,0,1
4971,1097.468842,58.785575,272.14125,2277.533125,743.6387626,76.03261875,253.4472563,2313.0025,1.083966051,0,1
4972,1286.935276,53.74317917,372.2710833,2353.42375,947.6102711,67.17563333,227.1628542,2429.472917,0.822236032,0,1
4973,1318.633908,53.68998,380.1356,2425.568,663.5666317,79.502005,208.28135,2447.4715,0.9031675,0,1
4974,1348.754146,52.85839737,386.5767632,2427.969211,657.4263629,77.03866316,158.93235,2343.446316,1.002802788,0,1
