,Norm_RR,NADH_tm,FAD_tm,NADH_a1,NADH_t1,NADH_t2,FAD_a1,FAD_t1,FAD_t2,Activation,Donor,Cell_Type
1928,1.066940898600454,1197.226609,721.8520315,56.49821494,338.9600115,2313.976667,77.88667126,249.2015667,2383.754368,1,4,1
1929,0.9919903723980226,1254.502965,1070.489923,61.67042414,437.2515517,2571.718736,67.77997241,415.4906437,2504.412644,0,5,1
1930,1.0206419365226778,1151.952706,895.7966863,63.48417471,392.5917126,2465.758506,74.14517126,384.4071264,2413.871379,0,6,1
1931,0.9963764625036076,1202.117454,858.143908,62.07955517,432.695977,2454.803333,71.53785632,318.7622989,2223.006437,0,6,1
1932,1.001196247478304,1311.945585,836.3900579,58.26204828,417.6342529,2559.915287,74.00916437,335.823954,2276.928736,1,6,1
1933,1.0192813042989588,1043.092596,934.3064902,68.01054023,402.2112644,2405.330115,70.85745632,398.9364713,2284.331724,1,6,1
1934,1.0133707887672598,984.9176341,833.5109754,70.34345862,398.7494943,2373.465517,72.81375172,304.2857356,2273.927126,1,6,1
1935,1.0522432989311037,853.3534315,581.7078325,74.56782841,385.9924773,2220.635,77.25232955,242.5513182,1694.784091,1,4,1
1936,0.9861022088117972,1048.980016,886.0513428,68.78630227,417.0496364,2459.435341,73.80468295,427.9098409,2221.135795,0,4,1
1937,0.9811389886874564,1196.750632,930.8605941,62.16057727,394.4595341,2518.618636,69.75127386,326.6768636,2347.542273,0,5,1
1938,0.992775436857331,1149.636626,992.2592191,60.68957841,368.6388523,2354.245114,66.65359318,395.3536818,2225.118977,0,5,1
1939,0.93674607210911,1171.355533,790.3176054,65.29821477,424.2838523,2589.594545,73.10357159,308.8038523,2116.242727,0,6,1
1940,0.9967481297190398,1129.15898,660.3629389,65.51620909,400.1483636,2512.956136,74.75489886,244.976,1898.313636,0,6,1
1941,1.0087953221280312,1256.105573,848.1531034,60.51214545,432.0658068,2517.663068,71.87505455,302.7633864,2248.225455,0,6,1
1942,1.0188212956191776,1056.527402,799.8835615,68.26439091,405.2998864,2453.105795,75.815025,313.5716364,2354.332273,0,6,1
1943,1.0329016625691454,898.6243372,734.4219496,72.81823295,372.7492955,2306.864205,77.94569318,287.9094773,2349.551591,1,6,1
1944,1.0131531214410194,1246.536506,872.8367847,63.22796023,463.1192045,2600.011705,76.11705227,416.3912159,2380.241364,1,6,1
1945,1.0205960099005358,904.7542734,897.7989462,73.61820449,383.9695618,2346.170337,74.75461236,385.1818539,2466.553146,1,5,1
1946,1.0268888988250238,1414.256308,877.3293207,56.9092809,437.2752584,2712.88191,78.44135169,404.2751124,2676.289438,0,6,1
1947,1.0122787545872975,1100.883492,846.1684532,66.82269438,424.8141461,2449.101798,76.12386067,344.4984494,2470.490449,0,6,1
