Norm_RR,NADH_tm,FAD_tm,Cell_Size_Pix,NADH_a1,NADH_t1,NADH_t2,FAD_a1,FAD_t1,FAD_t2,Donor,Activation
1.019944409,1129.082852,1021.735237,221,67.50688597,447.596267,2592.05552,70.69801357,394.1781267,2581.216199,4,1
1.022036106,1231.881242,931.0827618,225,65.65397689,466.6943822,2805.899111,73.27633911,280.9407987,2749.632311,4,1
0.985933874,986.9600886,1113.085345,172,69.26601628,390.3677674,2342.122907,66.98322791,369.076314,2663.502558,4,1
0.998411306,788.9985477,871.9817669,205,77.45176195,365.2655805,2265.326439,71.89884146,330.5385439,2271.048,4,1
1.008101788,943.3161994,894.572224,206,72.11038544,401.7942573,2375.032621,72.55019515,319.1249951,2439.040097,4,1
0.993090533,1249.472984,1007.856661,271,63.8302048,478.109203,2678.032103,69.75994059,355.0693432,2534.756568,4,1
0.972056782,842.364772,953.4418254,275,75.03849927,361.6355018,2307.647964,70.17954909,351.7814945,2386.508945,4,1
0.988004649,819.4824208,943.956784,132,76.25563485,370.5087652,2235.412652,70.08440152,376.1770833,2292.419621,4,1
0.994035426,696.2623559,844.6139862,194,79.56748969,336.4279381,2113.265464,75.80205412,359.2731753,2386.394639,4,1
0.965334704,970.1048326,849.6706103,169,72.69311834,431.5441598,2453.858639,71.34983905,300.5515385,2243.595148,4,1
1.00075681,837.9289713,1017.131398,397,76.38171511,396.8459622,2296.55,72.08646373,441.4281365,2568.929471,4,1
1.026739899,1016.356325,844.1296906,185,66.64408054,396.8270216,2268.861568,74.69421405,318.6782216,2543.828811,4,0
1.018620648,1024.265787,791.6268386,250,68.8987308,423.073296,2386.31976,76.5774232,322.4506432,2330.8294,4,0
1.025334138,1038.790802,883.2312077,219,67.7808516,416.5403059,2371.042968,75.14170228,379.1688397,2442.541461,4,0
1.012189346,1109.12871,858.9777554,279,66.52009211,440.7280036,2477.933871,74.32705412,304.282024,2533.189427,4,0
0.982860188,925.4978108,910.2835385,312,72.31311731,395.4385353,2338.229679,71.8320609,345.3212372,2374.758109,4,0
1.007168352,1094.467913,901.172244,495,67.88624404,461.4644182,2469.994121,71.01903576,289.0125671,2448.212485,4,0
0.950464654,1304.075849,1069.915904,537,64.18099553,513.989749,2784.888957,68.39565251,369.5512838,2613.539888,4,0
0.976074443,1044.041936,975.5338145,186,66.74707151,403.6376989,2349.067581,70.43560323,365.9230054,2462.216828,4,0
0.873032417,405.8162669,280.9821833,198,86.35294949,173.9874182,1407.130124,91.3252298,116.387251,1519.287323,4,0
0.99332133,1012.834692,849.8064506,267,69.33699064,434.0102547,2372.757191,73.535403,325.4578989,2341.545243,4,0
0.935064474,1032.824028,471.2702725,197,68.25533756,398.5420396,2429.875482,86.20714264,185.4542975,1812.507807,4,0
0.956810364,1091.623252,871.447805,375,66.8318928,449.018144,2415.39128,73.37231387,305.4018963,2462.571227,4,0
1.02272758,1101.576004,842.9695722,312,68.18465833,474.118125,2481.591538,74.61296891,284.2337878,2499.708429,4,0
0.979016552,1091.597402,882.3922526,273,69.43118242,487.5011121,2514.22348,72.26825495,304.2973407,2410.299744,4,0
1.026052045,1157.496153,1005.385483,201,64.07431592,435.9111975,2479.421493,72.88066517,383.8693075,2700.71005,4,0
1.031038222,709.0181814,892.5533559,158,79.91526646,365.6412722,2097.374177,75.17401772,358.8284684,2585.036456,4,0
1.021189229,1047.393892,839.2323911,202,67.82941584,415.596599,2413.131683,76.33021733,370.8597871,2369.656634,4,0
1.02294818,1159.135686,1062.385752,130,65.69301769,456.7414231,2563.749769,71.27509231,403.9528538,2745.603538,4,0
1.030578903,1056.619206,894.9539201,198,67.92219949,437.1456263,2400.023333,72.7943202,291.0386768,2530.484444,4,0
0.966881613,1041.492916,888.1797919,179,69.30703799,421.9959721,2488.467765,72.45635363,326.1124022,2360.530279,4,0
1.038106967,1167.066889,1110.585842,135,62.20261333,387.7271037,2466.898074,72.51423185,415.877437,2973.340519,4,0
1.005344675,1009.755561,976.4083155,142,69.93745352,426.4464155,2414.754507,69.33540141,337.5336056,2438.857183,4,0
1.03561222,1041.99197,848.9820942,137,66.33701533,392.247438,2346.06781,75.17569708,313.7044066,2508.704234,4,0
0.990538996,1097.074187,1015.024281,133,66.7134594,422.8657669,2478.403158,70.59123609,382.3409323,2593.62406,4,0
1.016072933,1008.486964,1055.091525,180,68.05702611,406.4945,2313.394889,67.82199167,364.0801244,2554.856,4,0
0.996037884,1031.413144,958.8807256,213,67.55874789,392.6645681,2385.095962,68.62506009,304.6490892,2402.899249,4,0
0.953831676,1047.450172,1003.371553,190,64.37443474,376.9204737,2282.504053,68.08180421,312.7254316,2486.634789,4,0
1.032106369,1111.270963,919.1052001,145,64.41159172,372.6442,2474.301034,72.63387448,303.211469,2593.505655,4,0
1.009330972,1094.535255,971.8741214,195,65.13885231,392.9870821,2421.404051,68.88684256,279.7704,2529.122,4,0
0.967457176,1208.590874,982.2437695,189,62.54169947,453.8508836,2519.579577,68.87607037,331.1804709,2433.651534,4,0
0.978002702,1038.745606,974.3946005,217,69.73271198,454.0586129,2415.068802,71.1968235,334.3443401,2583.019171,4,0
0.97477648,1323.709717,797.7399572,120,62.842385,520.7097917,2713.151667,73.3574625,313.1068583,2154.514667,4,0
1.005169414,1024.189261,1056.793855,230,69.20519174,411.6834783,2422.996304,71.96684087,429.1201087,2699.566565,4,0
1.009995033,1184.390851,1017.869206,197,64.5025868,468.8729645,2523.603249,69.14571777,334.9725228,2580.446751,4,0
0.965475941,1086.9111,1153.798165,195,65.19218,404.4560923,2385.443949,63.00840974,372.3286,2493.307231,4,0
0.971559941,1154.263577,921.4113765,182,63.44375714,376.521989,2527.584451,71.84569066,350.1492253,2401.911648,4,0
0.919350042,837.2584525,816.237548,231,76.08391126,373.7863247,2322.412468,73.16850303,311.754974,2202.638701,4,0
0.962630878,783.0497543,927.0373725,287,78.26809094,368.898784,2278.032056,68.99840174,333.6779024,2252.81216,4,0
0.961209632,962.8648124,949.5236628,208,71.82093942,399.2892981,2438.399952,71.49651154,366.882875,2425.035865,4,0
0.943856251,785.8035765,937.5453732,439,78.43540456,384.3748132,2269.006856,70.78404442,368.5820228,2330.254146,4,0
0.974847572,1038.034022,1009.640541,223,67.78506233,410.4503004,2388.976054,70.03377489,353.5063318,2570.929058,4,0
0.97737645,955.0068168,996.5776984,143,70.75238741,388.1191888,2350.354476,67.96296713,339.8963497,2401.419161,4,0
0.987182109,1062.806247,973.8254715,187,67.46965508,423.5580107,2411.090802,68.91422246,277.987785,2533.831283,4,0
0.913664863,776.3639925,902.5897189,142,78.35832606,361.4212042,2286.992887,69.79564014,318.9852746,2259.173944,4,0
0.993779298,1102.106001,888.096518,155,70.84677935,498.9730581,2639.571677,73.73021355,353.7083161,2413.212581,4,0
0.929849305,644.3171631,938.5054102,116,83.9834681,381.7750603,2037.05069,75.21537414,433.0332672,2481.445259,4,0
1.000356825,1168.865862,985.0501498,257,65.17849883,455.4040704,2555.395409,72.96979844,380.7401907,2666.295564,4,0
1.03408502,1109.955147,855.6485406,177,68.28954746,490.0524237,2499.505311,76.23433277,323.0908288,2598.999661,4,0
1.036742057,1089.771724,921.0059162,246,66.56904553,417.4482764,2454.845081,73.78610488,328.8076382,2616.357033,4,0
1.004842877,1059.20982,880.9846667,208,67.59134135,449.4904712,2367.296106,73.00233462,309.011399,2447.143606,4,0
1.012071579,898.4553725,1023.939777,244,72.0620459,380.6501803,2249.848402,69.65990984,340.5847623,2619.481393,4,0
1.008954258,1242.444796,1020.10155,295,63.18866814,482.4674746,2601.998983,69.72657492,347.3279458,2599.686949,4,0
1.040397898,1115.250162,951.3379269,239,66.59390167,434.4489205,2499.409833,70.64744561,313.9227745,2521.405397,4,0
1.016081679,1158.513623,1011.358998,282,65.18497163,461.900156,2501.657305,67.98144574,333.6058511,2479.063617,4,0
0.979734448,974.5350523,942.536926,245,69.52241959,390.7589755,2345.929061,72.29176653,352.1901988,2518.335959,4,0
1.004152332,1031.492447,953.9715243,239,70.16653347,445.5103222,2448.915816,72.76186946,350.7409121,2606.440669,4,0
1.017747085,1272.97216,993.8987339,209,61.57796603,502.5128804,2553.620957,72.82491675,354.5317373,2745.625981,4,0
0.933177886,1017.912863,1045.614175,175,70.006032,406.7819886,2481.377886,71.91703371,429.6169257,2700.256857,4,0
0.976407215,1125.695003,939.1748024,231,69.65560909,514.4281775,2589.590996,71.7870342,329.6011913,2518.44013,4,0
1.017216102,1008.38652,1025.966476,191,68.72870576,407.5035079,2367.371152,73.15149686,398.414967,2795.966126,4,0
0.971415782,1207.647548,967.2418207,190,61.79900684,445.6967105,2489.439684,69.78246053,326.8414632,2460.493737,4,0
1.015841334,1311.830492,1011.687501,236,61.29325805,485.2719131,2668.080339,72.6524822,408.1050975,2662.608517,4,0
1.018183871,1156.355938,915.6904765,223,67.38213094,506.836,2557.499955,73.85543543,317.3578184,2643.453498,4,0
