NADH,n.t1.mean,n.t2.mean,n.a1.mean,f.t1.mean,f.t2.mean,f.a1.mean,rr.mean,n.tm.mean,f.tm.mean,npix,Group,Donor,Experiment_Date,Activation,Cell_Type
NK_act_1n,280.434592,2288.868021,65.57705027,284.1495118,2176.454813,69.95658449,0.952389218,971.8297739,811.2467872,187,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,285.5536595,2271.527577,62.30495399,203.1734332,2098.004233,72.17030736,0.935168958,1031.429318,722.3076092,326,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,285.5461504,2333.617832,63.28401549,229.1448761,2166.910796,70.02367876,0.95175601,1035.329251,790.9236569,226,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,282.9244569,2261.832285,65.96251933,207.6999927,2056.429187,69.74769939,0.955496492,956.2065896,746.0300522,652,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,282.6063789,2244.942877,63.29560632,177.9765677,2044.103018,69.62788912,0.93348194,1003.310186,735.8116839,285,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,295.5138014,2200.875632,67.34041103,201.2538247,2128.680092,71.95775287,0.960235131,922.5524581,730.6212369,435,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,284.3027389,2391.685483,60.10288069,184.0519526,1999.26109,71.38624798,0.912973647,1123.547464,691.722804,321,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,304.97325,2328.09625,65.6648375,214.0826875,2129.265,70.57985625,0.938318737,998.5082408,774.442982,16,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,305.6092478,2406.895493,61.148,214.269023,2092.574776,69.69384119,0.947219758,1118.473986,766.8086299,335,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,289.0556498,2363.240233,64.93442646,170.6719066,1750.516887,68.76857276,0.922728194,1012.554438,656.7146798,257,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,287.1438497,2277.276746,62.85032426,249.2591414,2303.086036,70.15568698,0.896372813,1027.009052,848.8288984,169,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,308.1569663,2242.290798,65.02952393,216.0301439,2094.257331,69.99075951,0.95079294,984.1926315,756.838722,326,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,286.6692667,2390.465273,62.59766364,238.0146848,2166.766558,72.73996667,0.959074011,1072.757929,722.1421571,165,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,267.3462846,2213.24943,63.4046195,201.1968574,1932.560705,69.05687919,0.932710365,981.2456905,725.8591862,298,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,296.6315639,2313.859795,64.87846885,222.2579968,2000.749631,69.16191311,0.948587677,1009.17833,764.3156136,244,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,280.71558,2364.242636,62.21172697,246.3086794,2078.537152,69.58483515,0.952187025,1070.390482,786.8852638,330,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,251.8312718,2432.983651,55.97602282,176.2647859,1938.068361,68.35080747,0.863355966,1205.973152,726.0867929,482,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,296.5437661,2153.501322,66.44900102,218.7160807,2114.883847,70.05894542,0.959466431,921.57502,764.0396754,295,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,324.5712888,2363.757471,63.27754529,211.7680741,2107.184059,72.36702235,0.939330232,1070.781122,727.745924,170,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,249.8485943,2163.028962,64.69369906,205.0920447,1764.254358,63.645795,0.947744134,926.5252132,737.527523,106,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,306.6546535,2640.561089,55.49156436,235.6246911,2486.509208,71.19066832,0.946884377,1349.362597,858.6988727,101,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,264.4503935,2157.133355,63.93490129,183.0445535,1846.456774,72.81703097,0.936095935,950.4569922,625.5478426,155,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,287.5355909,2364.907273,61.75055909,232.1944091,2044.555909,68.3444,0.947634573,1085.825443,790.0991765,22,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,272.4446667,2108.0925,66.40061667,207.7693104,1811.318333,67.60538333,0.921619842,889.3301905,721.7723509,144,Activated,M,221101,CD69+,NK-Cells
