NADH,NADH_t1,NADH_t2,NADH_a1,FAD_t1,FAD_t2,FAD_a1,Norm_RR,NADH_tm,FAD_tm,Cell_Size_Pix,Group,Donor,Experiment_Date,Activation,Cell_Type
NK_act_1n,468.3268351,2573.086753,65.37827835,383.7254072,2543.155412,72.75402423,1.016054389,1187.96498,962.7276283,194,Activated,D,220309,CD69-,NK-Cells
NK_act_1n,463.9913062,2492.491978,70.52678835,434.7986992,2733.715989,72.47134092,1.003472792,1046.047612,1052.07315,369,Activated,D,220309,CD69-,NK-Cells
NK_act_1n,455.920266,2640.175718,64.72183404,412.6700093,2672.867128,72.91072181,1.056254329,1215.490302,1013.613785,376,Activated,D,220309,CD69-,NK-Cells
NK_act_1n,439.5507959,2306.088112,69.70926224,417.8377296,2576.428673,70.70690408,1.019465625,995.6498183,1033.788934,196,Activated,D,220309,CD69-,NK-Cells
NK_act_1n,581.8524969,2771.28963,71.54723981,409.3480793,2805.356358,73.08920741,1.008744817,1179.1002,1035.254189,324,Activated,D,220309,CD69-,NK-Cells
NK_act_1n,471.642594,2450.02445,69.33464564,343.6624658,2619.767661,71.99025872,1.020955639,1061.916274,970.9142976,436,Activated,D,220309,CD69-,NK-Cells
NK_act_1n,434.1807598,2383.489218,66.01569218,402.1039838,2351.233631,68.53804637,1.000048975,1084.059596,999.2802956,179,Activated,D,220309,CD69-,NK-Cells
NK_act_1n,498.228744,2557.150685,68.54434911,469.4678646,3018.05753,73.73139464,1.007730804,1130.433824,1119.615594,336,Activated,D,220309,CD69-,NK-Cells
NK_act_1n,479.8557664,2517.820227,68.93751455,339.0062,2752.001136,73.11053273,0.992593099,1096.451581,973.1669274,220,Activated,D,220309,CD69-,NK-Cells
NK_act_1n,396.3243601,2384.786329,68.97663252,345.8071769,2336.295315,73.33415804,0.998074909,1001.316418,869.9525237,286,Activated,D,220309,CD69-,NK-Cells
NK_act_1n,482.1760522,2597.059403,69.92389403,402.6060187,2719.470149,71.33504104,0.981485452,1098.949485,1051.813273,268,Activated,D,220309,CD69-,NK-Cells
NK_act_1n,438.05175,2367.362083,68.963355,513.07235,3050.72,75.81264167,1.026415613,1026.954537,1106.223518,120,Activated,D,220309,CD69-,NK-Cells
NK_act_1n,420.5430645,2458.230968,70.86019785,358.8966846,2581.246308,70.23984014,0.962031435,1000.139368,1007.180945,279,Activated,D,220309,CD69-,NK-Cells
NK_act_2n,58.61832727,1312.830563,96.70646364,92.83198357,813.6687168,92.5392972,0.736673311,102.774487,138.0041173,286,Activated,D,220309,CD69-,NK-Cells
NK_act_2n,393.7097535,2295.495868,74.99874306,347.9607188,2704.197951,77.1168684,1.015548012,862.8454177,879.2384642,288,Activated,D,220309,CD69-,NK-Cells
NK_act_2n,515.3133301,2564.518693,70.10144118,526.5735425,2700.570098,72.35073595,0.998279955,1112.836812,1113.083667,306,Activated,D,220309,CD69-,NK-Cells
NK_act_2n,506.1251538,2604.730301,71.16516154,408.7611502,2701.114916,72.31737191,1.014100892,1097.605998,1030.989403,299,Activated,D,220309,CD69-,NK-Cells
NK_act_2n,466.9653765,2543.872689,69.77810265,401.8623413,2902.057955,72.81461023,0.99706068,1077.745301,1066.085699,264,Activated,D,220309,CD69-,NK-Cells
NK_act_2n,470.3536875,2485.28459,71.8411859,353.5376669,2626.596689,72.2790859,0.985460552,1022.934524,976.1506682,305,Activated,D,220309,CD69-,NK-Cells
NK_act_2n,426.8696331,2416.200059,68.56279467,305.8100775,2556.410651,75.50587929,1.007732611,1038.584888,850.2512948,169,Activated,D,220309,CD69-,NK-Cells
NK_act_2n,492.2982459,2555.055994,69.36751657,379.3397541,2616.706713,74.04102541,0.967270459,1105.395875,956.4735597,362,Activated,D,220309,CD69-,NK-Cells
NK_act_2n,505.7252172,2616.893566,70.67657992,334.8825766,2597.350861,74.73381311,1.000249913,1102.561679,897.4016608,244,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,416.4648404,2444.229293,74.86557872,371.3145128,2343.615777,83.97770745,0.952394019,937.0547135,712.3503281,188,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,483.8638036,2520.448222,67.70649289,344.8462222,2377.880622,77.96496578,1.032541532,1126.026825,794.0860421,225,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,467.8702034,2494.134703,69.83096822,270.5159746,2340.065055,80.96542288,1.04170664,1064.84733,663.4742662,236,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,415.9696054,2387.186541,70.33586541,276.4952508,2133.677259,83.19512486,1.025573978,989.4078639,588.4948029,185,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,429.0848539,2537.514566,67.60197626,349.3722018,2549.266941,71.91977169,1.014795186,1104.213634,959.192613,219,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,512.023977,2768.494685,71.37111847,270.3695757,2438.916577,80.12645901,1.009147814,1136.986205,693.9039205,222,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,418.6956526,2353.706009,70.10001643,390.0363648,2780.527653,74.26249108,1.032548086,986.6105005,986.2416439,213,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,33.91688593,450.6910444,98.51128296,105.8143244,741.6955704,97.48914963,0.718283013,40.60509462,126.4210907,135,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,434.7862754,2430.346886,71.25695269,292.9993518,2588.651976,75.02220449,1.016306782,994.8794532,861.2735158,334,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,456.3758818,2403.866008,69.04130814,327.4534767,2583.326124,77.49571395,1.010202373,1049.935196,843.9615038,258,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,489.4852655,2526.64677,66.69200442,490.7738274,2788.750487,73.23662699,1.003755005,1152.233048,1090.606408,226,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,468.1437462,2547.25263,71.17380367,467.008404,2857.691437,70.52251407,1.011420815,1055.46439,1148.886534,327,Activated,D,220309,CD69-,NK-Cells
